PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
15y;3m;0.008775;0.000000;-0.900000;0.182827;
15y;6m;0.008925;0.000000;-0.900000;0.099043;
15y;9m;0.008807;0.000000;-0.900000;0.038368;
15y;1y;0.008844;0.000000;-0.900000;0.004010;
15y;2y;0.010646;0.053374;-0.900000;0.001000;
15y;5y;0.013667;0.152558;-0.900000;0.001000;
15y;10y;0.015813;0.232373;-0.900000;0.001000;
30y;3m;0.009038;0.000000;-0.900000;0.163449;
30y;6m;0.009106;0.000000;-0.900000;0.085854;
30y;9m;0.009003;0.000000;-0.900000;0.049631;
30y;1y;0.009004;0.000000;-0.900000;0.034213;
30y;2y;0.010814;0.053431;-0.900000;0.001000;
30y;5y;0.013388;0.142056;-0.900000;0.001000;
30y;10y;0.016525;0.248071;-0.900000;0.001000;
3y9m;2y2m;0.357780;0.969273;-0.900000;0.001000;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.200000;0.751240;-0.832842;1.690021;
2y;6m;0.200000;0.754020;-0.752696;1.420951;
2y;9m;0.200000;0.776278;-0.634698;1.067959;
2y;1y;0.200000;0.807381;-0.379096;0.834675;
2y;2y;0.200000;0.827917;-0.432996;1.233604;
2y;5y;0.200000;0.891626;-0.307112;0.460629;
2y;10y;0.200000;0.948661;-0.461824;0.389774;
5y;3m;0.200000;0.841417;-0.356020;0.875108;
5y;6m;0.200000;0.830129;-0.332775;0.724981;
5y;9m;0.200000;0.829000;-0.354387;0.656290;
5y;1y;0.200000;0.828121;-0.333507;0.572977;
5y;2y;0.200000;0.833941;-0.395044;0.505612;
5y;5y;0.200000;0.901618;-0.413605;0.429238;
5y;10y;0.200000;0.957517;-0.463889;0.441747;
10y;3m;0.200000;0.855204;-0.460397;0.793707;
10y;6m;0.200000;0.850134;-0.440360;0.762812;
10y;9m;0.200000;0.852519;-0.459758;0.713295;
10y;1y;0.200000;0.851692;-0.492522;0.634259;
10y;2y;0.200000;0.865214;-0.493017;0.538094;
10y;5y;0.200000;0.919260;-0.442357;0.476156;
10y;10y;0.200000;0.935850;-0.467735;0.436116;
15y;3m;0.200000;0.872121;-0.622858;0.854631;
15y;6m;0.200000;0.865829;-0.571309;0.750927;
15y;9m;0.200000;0.868994;-0.537966;0.657456;
15y;1y;0.200000;0.867912;-0.522843;0.604948;
15y;2y;0.200000;0.876734;-0.487538;0.567813;
15y;5y;0.200000;0.920378;-0.422808;0.501945;
15y;10y;0.200000;0.927674;-0.483786;0.401292;
30y;3m;0.200000;0.853344;-0.609851;0.861882;
30y;6m;0.200000;0.849763;-0.562217;0.767730;
30y;9m;0.200000;0.852062;-0.548913;0.705840;
30y;1y;0.200000;0.849504;-0.570099;0.652872;
30y;2y;0.200000;0.856989;-0.512499;0.582356;
30y;5y;0.200000;0.897375;-0.449164;0.522828;
30y;10y;0.200000;0.924248;-0.475901;0.402389;
3y9m;2y2m;0.200000;0.830863;0.221948;0.512999;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.400000;0.898082;-0.858047;1.777494;
2y;6m;0.400000;0.899217;-0.788637;1.515282;
2y;9m;0.400000;0.923829;-0.689156;1.140093;
2y;1y;0.400000;0.959030;-0.466368;0.874002;
2y;2y;0.400000;0.985869;-0.490678;1.322495;
2y;5y;0.400000;1.000000;-0.999000;0.359819;
2y;10y;0.400000;0.863260;-0.652852;1.135189;
5y;3m;0.400000;1.000000;-0.474484;0.925385;
5y;6m;0.400000;0.999269;-0.424685;0.809939;
5y;9m;0.400000;0.999244;-0.446459;0.735140;
5y;1y;0.400000;0.999868;-0.434382;0.643969;
5y;2y;0.400000;1.000000;-0.593175;0.503670;
5y;5y;0.400000;1.000000;-0.999000;0.451564;
5y;10y;0.400000;0.868833;-0.648889;1.338432;
10y;3m;0.400000;1.000000;-0.806678;0.541742;
10y;6m;0.400000;1.000000;-0.774101;0.550651;
10y;9m;0.400000;1.000000;-0.878522;0.481965;
10y;1y;0.400000;1.000000;-0.999000;0.413095;
10y;2y;0.400000;1.000000;-0.999000;0.462814;
10y;5y;0.400000;1.000000;-0.999000;0.512514;
10y;10y;0.400000;1.000000;-0.797063;0.473027;
15y;3m;0.400000;1.000000;-0.999000;0.539502;
15y;6m;0.400000;1.000000;-0.999000;0.493300;
15y;9m;0.400000;1.000000;-0.999000;0.462566;
15y;1y;0.400000;1.000000;-0.999000;0.459126;
15y;2y;0.400000;1.000000;-0.999000;0.526494;
15y;5y;0.400000;1.000000;-0.999000;0.488969;
15y;10y;0.400000;1.000000;-0.813379;0.437693;
30y;3m;0.400000;1.000000;-0.918520;0.604502;
30y;6m;0.400000;1.000000;-0.937567;0.528898;
30y;9m;0.400000;1.000000;-0.999000;0.468708;
30y;1y;0.400000;1.000000;-0.999000;0.467417;
30y;2y;0.400000;1.000000;-0.999000;0.438765;
30y;5y;0.400000;1.000000;-0.999000;0.406810;
30y;10y;0.400000;1.000000;-0.797481;0.438970;
3y9m;2y2m;0.400000;1.000000;-0.081445;0.165747;
