PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
15y;5y;0.013669;0.152601;-0.900000;0.001000;
15y;10y;0.015831;0.232663;-0.900000;0.001000;
30y;3m;0.009034;0.000000;-0.900000;0.160856;
30y;6m;0.009105;0.000000;-0.900000;0.084869;
30y;9m;0.009001;0.000000;-0.900000;0.049414;
30y;1y;0.115358;1.000000;-0.900000;0.014440;
30y;2y;0.010796;0.053007;-0.900000;0.001000;
30y;5y;0.013353;0.141359;-0.900000;0.001000;
30y;10y;0.016521;0.248044;-0.900000;0.001000;
3y9m;2y2m;0.357533;0.969070;-0.900000;0.001000;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.200000;0.751231;-0.832948;1.686560;
2y;6m;0.200000;0.753997;-0.752920;1.418769;
2y;9m;0.200000;0.776246;-0.634837;1.066633;
2y;1y;0.200000;0.807341;-0.379557;0.834245;
2y;2y;0.200000;0.827820;-0.433085;1.232724;
2y;5y;0.200000;0.891617;-0.307123;0.460519;
2y;10y;0.200000;0.948648;-0.461910;0.389724;
5y;3m;0.200000;0.841054;-0.356137;0.868278;
5y;6m;0.200000;0.829934;-0.332578;0.720982;
5y;9m;0.200000;0.828890;-0.354784;0.653458;
5y;1y;0.200000;1.000000;0.002220;0.001000;
5y;2y;0.200000;0.833922;-0.395079;0.505057;
5y;5y;0.200000;0.901550;-0.414182;0.428825;
5y;10y;0.200000;0.957484;-0.463965;0.441616;
10y;3m;0.200000;0.855206;-0.460168;0.793281;
10y;6m;0.200000;0.850134;-0.440224;0.762089;
10y;9m;0.200000;0.852508;-0.459784;0.712784;
10y;1y;0.200000;0.851700;-0.492581;0.634101;
10y;2y;0.200000;0.865208;-0.492979;0.537841;
10y;5y;0.200000;0.919232;-0.442568;0.476006;
10y;10y;0.200000;0.935883;-0.467520;0.436165;
15y;3m;0.200000;0.872128;-0.622818;0.854401;
15y;6m;0.200000;0.865815;-0.571661;0.750565;
15y;9m;0.200000;0.868993;-0.537895;0.657205;
15y;1y;0.200000;0.867905;-0.522880;0.604684;
15y;2y;0.200000;0.876698;-0.487769;0.567459;
15y;5y;0.200000;0.920381;-0.422769;0.501918;
15y;10y;0.200000;0.927681;-0.483785;0.401221;
30y;3m;0.200000;0.853344;-0.609938;0.861437;
30y;6m;0.200000;0.849745;-0.562310;0.767155;
30y;9m;0.200000;0.852032;-0.548980;0.705217;
30y;1y;0.200000;0.849478;-0.570266;0.652213;
30y;2y;0.200000;0.856971;-0.512684;0.582036;
30y;5y;0.200000;0.897335;-0.449293;0.522640;
30y;10y;0.200000;1.000000;-0.015613;0.001000;
3y9m;2y2m;0.200000;0.830788;0.222057;0.512345;
